District,Beatnum
17,1713
16,1651
19,1914
19,1915
19,1913
7,735
19,1912
17,1723
19,1911
17,1722
19,1923
17,1724
20,2024
16,1624
16,1655
16,1632
19,1925
19,1922
17,1732
19,1921
16,1653
17,1733
16,1652
17,1731
16,1634
16,1633
19,1924
16,1631
19,1934
19,1933
24,2422
24,2424
24,2411
20,2033
24,2423
24,2431
24,2432
20,2022
16,1622
16,1614
16,1612
24,2412
20,2023
17,1712
16,1613
24,2433
18,1823
24,2413
17,1711
20,2013
20,2012
31,3100
20,2011
16,1623
20,2032
12,1213
20,2031
14,1423
12,1212
12,1211
11,1121
11,1112
15,1524
11,1111
15,1531
15,1511
18,1833
18,1832
18,1831
18,1834
12,1223
12,1214
12,1222
12,1215
1,122
12,1221
15,1532
11,1122
11,1114
15,1523
15,1512
11,1123
1,114
1,111
3,333
11,1113
1,121
12,1224
1,112
1,131
12,1232
9,911
15,1522
2,215
15,1513
11,1115
2,212
2,213
8,821
2,214
8,815
9,925
2,224
9,924
10,1012
9,921
2,225
8,814
2,222
2,221
9,922
2,223
9,935
9,933
9,931
9,923
12,1234
2,234
11,1124
2,233
2,231
1,113
9,934
9,932
8,822
10,1024
8,811
2,235
25,2515
18,1814
7,711
12,1231
15,1533
11,1125
12,1225
11,1134
11,1133
11,1132
11,1131
1,123
25,2532
11,1135
1,124
1,132
18,1812
12,1233
10,1023
10,1022
10,1021
25,2531
10,1011
10,1014
9,914
12,1235
10,1034
10,1033
10,1013
9,913
1,133
7,714
9,912
10,1032
10,1031
14,1412
2,211
9,915
14,1421
19,1931
19,1932
14,1411
25,2523
25,2521
25,2514
19,1935
25,2511
14,1432
25,2524
14,1414
25,2512
14,1431
14,1413
18,1811
25,2525
25,2522
18,1813
14,1422
14,1433
14,1434
25,2535
25,2534
25,2533
25,2513
18,1824
18,1821
18,1822
14,1424
7,722
7,723
7,724
7,725
7,726
3,321
8,832
8,831
8,833
7,731
3,322
3,332
3,334
7,732
7,733
7,734
3,324
5,523
5,532
5,524
5,533
4,414
3,323
4,411
4,421
8,835
6,624
6,623
6,621
6,612
6,611
8,834
6,613
4,422
6,631
6,622
6,614
4,423
4,424
4,412
6,632
6,634
22,2223
22,2222
22,2221
4,413
4,432
6,633
4,431
5,511
3,311
22,2213
22,2232
22,2211
4,434
5,512
22,2212
22,2233
4,433
5,513
7,712
3,331
22,2234
31,3100
5,531
7,713
5,522
2,232
8,824
7,715
8,813
8,812
3,314
8,825
3,313
8,823
3,312
