,Description,Location Description,Arrest,Domestic,beatnum,Language,housingcrowdedpct,belowpovertypct,adultnojobpct,adultnohighschoolpct,under18above64pct,incomepercapita,hardshipindex,Temperature,Snowfall,Severity
6766,46,29,1,0,10850,1,6.3,28.6,22.6,24.4,37.9,15957,73,48.7,54.2,1
1453,81,4,0,0,3345,1,1.1,11.4,4.7,2.6,17.0,60058,5,54.5,30.1,0
1192,77,37,0,0,3345,1,1.1,11.4,4.7,2.6,17.0,60058,5,48.7,54.2,1
17935,7,43,1,0,20001,1,3.6,29.6,23.0,16.5,41.0,17285,66,54.5,30.1,0
1002,1,25,1,0,3345,1,0.3,7.5,5.2,4.5,26.2,57123,6,54.5,30.1,1
16851,6,4,1,0,28845,1,4.8,34.4,35.9,26.3,40.7,11317,89,54.5,30.1,1
12505,32,25,1,0,18345,1,3.3,27.8,24.0,14.5,40.3,18881,60,48.7,52.7,1
13249,68,25,0,0,17070,4,6.8,33.0,18.6,19.3,42.7,12515,79,48.7,52.7,0
1549,19,15,1,0,3345,1,0.8,12.3,5.1,3.6,21.5,71551,2,51.5,57.9,0
16565,6,25,1,0,28845,1,7.6,27.9,17.1,31.2,40.6,13231,80,50.7,19.8,1
12738,22,27,1,1,17070,1,3.3,27.8,24.0,14.5,40.3,18881,60,48.7,54.2,1
7585,48,9,0,0,12345,1,9.4,41.7,25.8,24.5,43.6,10934,92,48.7,52.7,0
14210,32,25,1,1,13701,1,3.3,25.9,19.4,20.5,42.1,16563,62,51.5,57.9,1
797,83,27,0,0,3345,1,3.8,24.0,8.9,11.8,22.2,35787,20,50.7,19.8,1
19125,12,4,1,0,37845,1,4.0,27.6,28.3,18.5,41.9,15528,74,48.7,54.2,1
7105,17,5,1,0,10850,1,6.3,28.6,22.6,24.4,37.9,15957,73,50.7,19.8,1
4602,49,50,0,0,4701,1,3.2,16.8,8.2,14.8,26.2,31908,23,51.5,57.9,0
14555,49,3,0,0,22849,1,5.8,56.5,34.6,27.5,51.5,8201,98,48.7,52.7,0
6512,1,30,0,0,10850,1,6.3,28.6,22.6,24.4,37.9,15957,73,54.5,30.1,1
8982,33,27,1,1,13845,1,7.4,43.1,21.2,27.6,42.7,12034,87,54.5,30.1,1
19952,93,5,0,0,37845,1,4.1,18.2,9.2,9.7,23.8,33385,19,50.7,19.8,0
1327,25,5,0,0,3345,1,1.1,11.4,4.7,2.6,17.0,60058,5,48.7,52.7,0
16290,143,41,1,0,21870,1,7.6,27.9,17.1,31.2,40.6,13231,80,51.5,57.9,1
2269,32,4,1,0,3870,1,1.9,12.9,7.0,2.5,22.6,88669,1,50.7,19.8,1
2,2,2,1,0,1336,1,7.7,23.6,8.7,18.2,27.5,23939,39,54.5,30.1,0
18429,6,3,1,0,21801,1,4.0,10.4,11.7,17.7,36.9,23482,37,51.5,57.9,1
8274,11,5,1,0,12345,1,3.8,20.6,10.7,9.6,22.2,44689,15,51.5,57.9,0
10930,7,27,1,0,16845,1,2.4,21.7,15.7,11.3,35.4,35911,26,48.7,52.7,0
2744,22,4,0,1,5070,1,11.3,19.2,10.0,32.9,32.0,21323,53,48.7,52.7,1
594,69,50,1,0,1336,1,3.8,24.0,8.9,11.8,22.2,35787,20,48.7,52.7,1
1126,34,27,1,0,3345,1,1.1,11.4,4.7,2.6,17.0,60058,5,48.7,52.7,0
19515,75,5,0,0,37845,1,1.0,3.4,8.7,4.3,36.8,34381,16,48.7,52.7,0
9463,65,4,0,0,12270,1,15.2,30.7,15.8,54.8,33.8,10402,96,50.7,19.8,0
3975,47,22,1,0,4701,1,6.9,20.5,13.1,41.6,36.4,15089,71,51.5,57.9,1
8986,11,5,1,0,13845,1,7.4,43.1,21.2,27.6,42.7,12034,87,51.5,57.9,0
6363,169,27,1,1,10850,1,6.3,28.6,22.6,24.4,37.9,15957,73,48.7,52.7,1
653,75,19,1,0,1336,1,3.8,24.0,8.9,11.8,22.2,35787,20,51.5,57.9,0
1919,22,25,1,1,3870,1,1.9,12.9,7.0,2.5,22.6,88669,1,48.7,54.2,1
13825,34,27,1,0,13701,1,2.5,19.8,20.3,16.9,41.2,17949,52,50.7,19.8,0
9540,33,25,1,0,12270,1,9.6,25.8,15.8,40.7,32.6,16444,76,51.5,57.9,1
15079,7,19,1,0,15501,1,7.2,18.7,13.4,32.9,35.6,16954,61,51.5,57.9,0
8449,11,5,1,0,12345,1,3.8,20.6,10.7,9.6,22.2,44689,15,48.7,54.2,0
18499,6,25,1,0,21801,1,4.0,10.4,11.7,17.7,36.9,23482,37,48.7,52.7,1
6420,68,25,1,0,10850,1,6.3,28.6,22.6,24.4,37.9,15957,73,50.7,19.8,0
13603,22,4,1,1,13701,1,2.5,19.8,20.3,16.9,41.2,17949,52,48.7,54.2,1
8736,19,19,1,0,13845,1,7.4,43.1,21.2,27.6,42.7,12034,87,48.7,52.7,0
9262,7,32,1,0,13845,1,15.2,30.7,15.8,54.8,33.8,10402,96,54.5,30.1,0
19898,17,5,1,0,37845,1,4.1,18.2,9.2,9.7,23.8,33385,19,48.7,52.7,1
15311,4,5,1,0,15501,1,11.9,29.0,23.0,41.5,38.9,12765,91,50.7,19.8,0
4878,12,5,1,1,7470,1,14.8,33.9,17.3,35.4,38.0,13781,85,51.5,57.9,1
19693,12,4,1,0,37845,2,3.6,15.4,7.1,10.9,30.3,25828,24,48.7,54.2,1
10108,7,3,1,0,12270,3,1.5,14.7,5.7,3.1,13.5,65526,3,48.7,52.7,0
17526,3,27,1,0,18201,1,3.8,46.6,28.0,28.5,42.5,11888,94,48.7,54.2,0
11359,22,25,1,1,16845,1,2.9,30.7,23.4,16.5,36.1,18672,58,48.7,54.2,1
8420,49,44,0,0,12345,1,3.8,20.6,10.7,9.6,22.2,44689,15,48.7,52.7,0
15593,4,22,1,0,21870,1,11.9,29.0,23.0,41.5,38.9,12765,91,48.7,54.2,0
11541,40,27,1,0,16845,1,2.9,30.7,23.4,16.5,36.1,18672,58,48.7,52.7,1
8121,33,27,1,0,12345,1,3.8,20.6,10.7,9.6,22.2,44689,15,50.7,19.8,1
11039,34,27,1,1,16845,1,5.6,42.1,28.6,25.4,42.8,13785,88,48.7,52.7,0
18666,19,0,1,0,21801,1,4.0,27.6,28.3,18.5,41.9,15528,74,51.5,57.9,0
10060,6,4,1,0,12270,3,1.5,14.7,5.7,3.1,13.5,65526,3,51.5,57.9,1
14966,83,27,1,0,15501,1,14.4,23.6,13.9,45.1,39.3,13089,84,51.5,57.9,1
10177,49,5,0,0,12270,3,1.3,13.8,4.9,7.4,21.8,59077,7,48.7,54.2,0
12926,19,47,1,0,17070,1,4.7,29.8,19.7,26.6,41.1,16579,75,48.7,52.7,0
13820,6,5,0,1,13701,1,2.5,19.8,20.3,16.9,41.2,17949,52,48.7,54.2,1
395,4,3,1,0,1336,1,7.8,17.2,8.8,20.8,38.5,23040,46,50.7,19.8,0
10919,7,3,1,0,16845,1,2.4,21.7,15.7,11.3,35.4,35911,26,48.7,52.7,0
16547,19,27,1,0,28845,1,7.6,27.9,17.1,31.2,40.6,13231,80,48.7,52.7,0
14354,6,5,0,0,22849,1,3.3,25.9,19.4,20.5,42.1,16563,62,50.7,19.8,1
12249,17,5,0,0,18345,1,2.8,31.1,20.0,14.0,35.7,19398,55,48.7,54.2,1
14632,11,5,1,0,22849,1,3.3,17.1,9.6,19.2,42.9,22677,44,50.7,19.8,0
10704,7,0,1,0,16845,1,3.3,29.3,24.3,15.9,39.5,23472,57,48.7,52.7,0
5395,34,25,1,0,7470,1,2.3,14.7,6.6,12.9,21.7,43198,10,48.7,52.7,0
7113,6,17,1,0,10850,1,6.3,28.6,22.6,24.4,37.9,15957,73,50.7,19.8,1
8864,7,3,1,0,13845,1,7.4,43.1,21.2,27.6,42.7,12034,87,54.5,30.1,0
3468,31,27,1,0,5070,2,5.2,10.6,10.0,16.2,33.6,26282,28,50.7,19.8,0
10600,83,27,1,0,16845,1,3.2,51.2,33.9,26.6,44.9,10432,97,48.7,54.2,1
11816,7,5,1,0,18345,1,2.8,31.1,20.0,14.0,35.7,19398,55,50.7,19.8,0
18765,68,25,1,0,21801,1,4.0,27.6,28.3,18.5,41.9,15528,74,48.7,52.7,0
12631,12,4,1,0,17070,1,3.3,27.8,24.0,14.5,40.3,18881,60,50.7,19.8,1
17914,6,4,1,0,20001,1,3.6,29.6,23.0,16.5,41.0,17285,66,48.7,52.7,1
10544,22,4,1,1,16845,1,1.3,39.7,28.7,18.4,40.4,19252,78,48.7,54.2,1
3639,7,55,1,0,5070,1,10.8,18.7,14.6,37.3,37.3,15461,70,54.5,30.1,0
12211,11,5,0,0,18345,1,2.8,31.1,20.0,14.0,35.7,19398,55,48.7,52.7,0
4801,6,27,1,1,7470,1,14.8,33.9,17.3,35.4,38.0,13781,85,51.5,57.9,1
5684,33,27,1,0,7470,1,2.3,14.7,6.6,12.9,21.7,43198,10,54.5,30.1,1
10066,4,11,1,0,12270,3,1.5,14.7,5.7,3.1,13.5,65526,3,50.7,19.8,0
3836,3,27,1,0,4701,1,10.8,18.7,14.6,37.3,37.3,15461,70,54.5,30.1,0
5609,33,25,1,0,7470,1,2.3,14.7,6.6,12.9,21.7,43198,10,48.7,52.7,1
9775,68,23,1,0,12270,3,1.5,14.7,5.7,3.1,13.5,65526,3,51.5,57.9,0
14204,11,5,1,0,13701,1,3.3,25.9,19.4,20.5,42.1,16563,62,48.7,52.7,0
18117,18,5,0,0,20001,1,3.6,29.6,23.0,16.5,41.0,17285,66,48.7,54.2,0
11599,19,0,1,0,18345,1,2.9,30.7,23.4,16.5,36.1,18672,58,51.5,57.9,0
14518,3,27,1,0,22849,1,5.8,56.5,34.6,27.5,51.5,8201,98,54.5,30.1,0
15898,12,38,1,0,21870,1,15.8,23.4,18.2,51.5,38.8,12171,93,48.7,54.2,1
19541,81,4,0,0,37845,1,0.8,13.2,15.0,10.8,40.3,27149,30,54.5,30.1,0
14365,17,5,1,0,22849,1,3.3,25.9,19.4,20.5,42.1,16563,62,50.7,19.8,1
2634,6,25,1,0,5070,2,1.1,7.5,6.8,4.9,40.5,44164,11,50.7,19.8,1
9838,6,34,1,0,12270,3,1.5,14.7,5.7,3.1,13.5,65526,3,50.7,19.8,1
108,22,4,1,1,1336,1,7.7,23.6,8.7,18.2,27.5,23939,39,54.5,30.1,1
812,7,3,1,0,3345,1,3.8,24.0,8.9,11.8,22.2,35787,20,48.7,54.2,0
6333,12,11,1,0,10850,1,6.3,28.6,22.6,24.4,37.9,15957,73,48.7,52.7,1
2568,68,27,1,0,3870,2,2.7,8.6,12.4,13.4,35.5,27751,25,54.5,30.1,0
11099,49,4,0,0,16845,1,5.6,42.1,28.6,25.4,42.8,13785,88,54.5,30.1,0
5050,44,4,1,0,7470,1,14.8,33.9,17.3,35.4,38.0,13781,85,54.5,30.1,0
11014,5,27,1,0,16845,1,2.4,21.7,15.7,11.3,35.4,35911,26,48.7,54.2,0
10477,11,5,1,0,16845,3,1.8,29.6,18.2,14.3,30.7,23791,47,48.7,52.7,0
1145,7,0,1,0,3345,1,1.1,11.4,4.7,2.6,17.0,60058,5,51.5,57.9,0
473,4,12,1,0,1336,1,7.8,17.2,8.8,20.8,38.5,23040,46,48.7,52.7,0
4676,22,5,1,1,7470,1,3.2,16.8,8.2,14.8,26.2,31908,23,48.7,52.7,1
17783,49,5,0,0,20001,1,3.8,46.6,28.0,28.5,42.5,11888,94,50.7,19.8,0
7164,17,5,1,0,12345,1,6.3,28.6,22.6,24.4,37.9,15957,73,48.7,52.7,1
16421,6,34,1,0,28845,1,7.6,27.9,17.1,31.2,40.6,13231,80,48.7,52.7,1
6909,3,27,1,0,10850,1,6.3,28.6,22.6,24.4,37.9,15957,73,48.7,52.7,0
8590,6,4,0,1,13845,1,7.4,43.1,21.2,27.6,42.7,12034,87,48.7,54.2,1
14639,31,25,1,0,22849,1,3.3,17.1,9.6,19.2,42.9,22677,44,54.5,30.1,0
18899,22,37,0,0,37845,1,4.0,27.6,28.3,18.5,41.9,15528,74,48.7,52.7,1
7838,32,3,1,0,12345,1,8.2,42.4,19.6,21.3,43.2,12961,83,48.7,54.2,1
6005,33,34,1,0,10850,1,6.3,28.6,22.6,24.4,37.9,15957,73,50.7,19.8,1
